top_n,ppv,n_contacts
10,1.0,10
20,0.9,18
30,0.9,27
40,0.9,36
50,0.9,45
60,0.8167,49
70,0.8286,58
80,0.775,62
90,0.7333,66
100,0.74,74
110,0.7455,82
120,0.7,84
130,0.6923,90
140,0.6857,96
150,0.6867,103
160,0.6875,110
170,0.6882,117
180,0.6722,121
190,0.6526,124
200,0.66,132
210,0.6524,137
220,0.6409,141
230,0.6478,149
240,0.6292,151
250,0.632,158
260,0.6231,162
270,0.6296,170
280,0.6286,176
290,0.6345,184
300,0.6333,190
310,0.6387,198
320,0.6406,205
330,0.6303,208
340,0.6235,212
350,0.6143,215
360,0.6111,220
370,0.6108,226
380,0.6158,234
390,0.6179,241
400,0.6175,247
410,0.6195,254
